Timestamp,Temperature_C,Humidity_%,Rainfall_mm,Soil_pH,Soil_Moisture_%,Nitrogen_mgkg,Phosphorus_mgkg,Potassium_mgkg,Growth_Rate_%,Yield_kg_per_hectare
2025-03-01 06:00:00,28.8,44.3,15.9,6.21,32.6,139.1,140.0,117.0,70.8,1875.0
2025-03-02 06:00:00,21.8,73.3,71.6,7.7,51.8,148.3,83.9,89.3,98.4,2535.9
2025-03-03 06:00:00,38.9,77.5,57.3,7.69,49.5,43.3,73.6,134.9,51.2,1832.0
2025-03-04 06:00:00,26.8,86.2,73.8,5.54,31.4,149.0,126.7,141.0,85.0,1672.9
2025-03-05 06:00:00,35.2,51.4,84.8,7.41,19.1,15.7,31.2,65.9,28.4,2898.0
2025-03-06 06:00:00,18.6,75.9,65.9,6.66,20.5,135.0,147.4,54.0,29.4,2812.1
2025-03-07 06:00:00,24.9,31.6,18.5,6.73,11.0,127.1,51.2,210.9,53.0,3461.4
2025-03-08 06:00:00,33.8,49.8,78.5,7.88,37.3,102.0,137.5,64.3,23.1,4942.7
2025-03-09 06:00:00,31.6,84.5,16.9,7.45,40.9,187.5,144.1,81.1,20.4,2381.8
2025-03-10 06:00:00,23.3,57.5,60.2,8.33,61.8,56.5,46.6,163.0,55.6,1274.3
2025-03-11 06:00:00,25.8,64.8,54.9,7.03,29.6,93.8,15.5,125.5,86.2,3118.4
2025-03-12 06:00:00,19.8,53.0,77.8,8.31,56.2,145.6,61.2,127.7,58.5,1551.5
2025-03-13 06:00:00,30.5,51.1,29.7,8.34,46.1,185.8,123.5,130.1,84.5,4181.6
2025-03-14 06:00:00,31.8,36.0,63.7,8.1,60.4,148.4,87.0,110.5,53.4,2095.5
2025-03-15 06:00:00,24.0,69.9,69.6,8.11,70.0,114.4,16.9,22.2,82.2,3125.4
2025-03-16 06:00:00,38.8,66.0,36.5,8.09,21.1,73.9,140.6,142.7,61.8,731.1
2025-03-17 06:00:00,25.7,69.1,73.5,8.08,34.9,183.1,101.2,128.6,78.6,957.7
2025-03-18 06:00:00,20.6,31.5,23.6,7.78,31.5,27.8,132.9,63.1,88.3,2869.3
2025-03-19 06:00:00,25.7,59.7,57.4,8.04,52.5,34.4,90.9,139.3,47.8,1300.0
2025-03-20 06:00:00,23.6,77.9,32.8,5.84,40.8,69.0,148.9,37.6,84.2,1328.2
2025-03-21 06:00:00,19.4,41.1,73.9,5.58,21.5,34.8,5.3,184.0,63.1,821.5
2025-03-22 06:00:00,36.1,64.4,20.5,8.32,45.4,65.9,85.8,147.4,89.1,4775.0
